PER,R,DATE,NAME
day,rjupiter,,
3.52474859,1.3589999676,2000,HD209458b
111.4367,1.0290000439,2001,HD80606b
1.2119189,1.3630000353,2003,OGLE-TR-56b
0.736546,0.1855649948,2004,55Cnce
1.689868,1.2000000477,2004,OGLE-TR-132b
1.4324752,1.0930000544,2004,OGLE-TR-113b
4.0161,1.050999999,2004,OGLE-TR-111b
2.64385,0.3767000139,2004,GJ436b
3.030065,1.0670000315,2004,TrES-1b
2.8758911,0.6539999843,2005,HD149026b
3.101278,1.25,2005,OGLE-TR-10b
2.21857567,1.1380000114,2005,HD189733b
1.21986983,1.496999979,2006,WASP-33b
3.941534,1.2059999704,2006,XO-1b
2.47063,1.2239999771,2006,TrES-2b
2.5199449,1.5160000324,2007,WASP-1b
21.21663,1.0199999809,2007,HD17156b
2.615838,0.9829999804,2007,XO-2b
2.899703,0.898999989,2007,HAT-P-3b
3.056536,1.2740000486,2007,HAT-P-4b
5.6334729,1.1569999456,2007,HAT-P-2b
1.30618581,1.3359999657,2007,TrES-3b
3.553945,1.7829999924,2007,TrES-4b
2.788491,1.2539999485,2007,HAT-P-5b
2.1522254,1.0770000219,2007,WASP-2b
4.4652934,1.2419999838,2007,HAT-P-1b
3.1915426,1.2170000076,2008,XO-3b
1.5089557,1.4900000095,2008,CoRoT-1b
9.20205,1.1900000572,2008,CoRoT-4b
4.1877537,1.0299999714,2008,XO-5b
3.67724,1.3600000143,2008,OGLE-TR-211b
3.9791,1.1299999952,2008,OGLE-TR-182b
1.846834,1.2899999619,2008,WASP-3b
1.7429935,1.4659999609,2008,CoRoT-2b
4.2568,1.0099999905,2008,CoRoT-3b
2.2047304,1.3630000353,2008,HAT-P-7b
1.3382299,1.3409999609,2008,WASP-4b
3.852985,1.3300000429,2008,HAT-P-6b
1.6284229,1.1399999857,2008,WASP-5b
0.9414529,1.2669999599,2009,WASP-18b
3.722465,0.9100000262,2009,WASP-11b
1.09142245,1.7899999619,2009,WASP-12b
0.853585,0.1498000026,2009,CoRoT-7b
4.0378962,1.3880000114,2009,CoRoT-5b
3.92289,1.3999999762,2009,HAT-P-9b
2.91625,1.2810000181,2009,HAT-P-13b
4.353011,1.3890000582,2009,WASP-13b
2.4855335,1.6100000143,2009,OGLE2-TR-L9b
3.7521,1.3789999485,2009,WASP-15b
3.2130598,0.9589999914,2009,HAT-P-12b
3.1186009,1.0080000162,2009,WASP-16b
2.243752,1.2810000181,2009,WASP-14b
1.58040482,0.2389000058,2009,GJ1214b
4.954658,0.9150000215,2009,WASP-7b
3.076337,1.5,2009,HAT-P-8b
3.361006,1.2239999771,2009,WASP-6b
3.0927616,1.0800000429,2009,WASP-10b
2.718659,1.1799999475,2010,WASP-32b
2.7566,1.3200000525,2010,WASP-26b
2.77596,1.2890000343,2010,HAT-P-16b
3.53269,1.1200000048,2010,WASP-22b
10.863502,1.0720000267,2010,HAT-P-15b
2.828042,1.4400000572,2010,CoRoT-12b
4.03519,0.8849999905,2010,CoRoT-13b
3.35524,1.2419999838,2010,HAT-P-24b
0.78884,1.3860000372,2010,WASP-19b
2.3412127,1.2999999523,2010,WASP-24b
3.735433,1.932000041,2010,WASP-17b
4.627669,1.1499999762,2010,HAT-P-14b
2.99433,1.4299999475,2010,CoRoT-11b
95.2738,1.0499999523,2010,CoRoT-9b
